instance,solver,rate result,rate d-result,rate reason-deletions,rate time,rate d-time
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,cms55-main-all4fixed@autotune,lrat-check pending,lrat-check pending,831,47.66,49.54
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,cms55-main-all4fixed@glubreak,lrat-check pending,lrat-check pending,831,29.23,31.00
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,cms55-main-all4fixed@main,lrat-check pending,lrat-check pending,831,40.68,38.81
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,COMiniSatPS_Pulsar_drup@drup,lrat-check pending,lrat-check pending,831,56.23,64.05
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,expGlucose@default,lrat-check pending,lrat-check pending,832,88.41,88.98
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,expMC_LRB_VSIDS_Switch_2500@default,lrat-check pending,lrat-check pending,831,41.21,40.99
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,expMC_LRB_VSIDS_Switch@default,lrat-check pending,lrat-check pending,831,6.53,6.19
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,expMC_VSIDS_LRB_Switch_2500@default,lrat-check pending,lrat-check pending,831,30.76,30.30
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,GHackCOMSPS_drup@ghack_drup,lrat-check pending,lrat-check pending,831,33.10,30.18
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,glucose-3.0_PADC_10@default,lrat-check pending,lrat-check pending,831,171.05,170.61
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,glucose4.2.1@default,lrat-check pending,lrat-check pending,831,99.48,106.76
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,glu_mix@default,lrat-check pending,lrat-check pending,831,75.00,75.69
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Lingeling@default,lrat-check pending,lrat-check pending,78,96.00,102.56
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Maple_CM@default,lrat-check pending,lrat-check pending,831,32.24,28.36
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,Maple_CM_Dist@default,lrat-check pending,lrat-check pending,831,35.97,37.79
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,lrat-check pending,lrat-check pending,831,28.59,30.12
