instance,solver,rate time,rate d-time,gratgen time,drat-trim time,rate space,rate d-space,gratgen space,drat-trim space
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Maple_LCM+BCrestart_M1@default,8.68,8.75,6.20,6.74,144.7,144.8,145.8,139.3
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,MapleLCMDistChronoBT@default,10.93,11.21,6.95,7.81,157.6,157.4,185.6,151.8
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Maple_LCM_M1@default,8.44,10.97,5.85,7.05,144.8,144.7,160.2,139.4
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Maple_LCM_Scavel_200_fix2@default,16.08,14.92,10.00,14.58,192.6,192.5,249.5,184.0
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Maple_LCM_Scavel_fix2@default,14.56,15.96,9.46,10.79,187.9,188.0,250.1,179.9
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Minisat-v2.2.0-106-ge2dd095@simp_proof,444.38,452.69,618.42,720.66,2103.5,2103.5,3922.8,2082.6
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Riss7.1-fix@BVE_DRAT,146.45,136.87,109.85,122.08,923.5,923.4,1607.7,902.9
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,smallsat@default,26.21,25.73,16.67,18.62,250.1,249.9,355.7,236.1
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19,Sparrow2Riss-2018-fixfix@MAIN,150.18,145.46,212.51,234.92,923.3,923.4,1606.5,903.0
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,abcdsat_r18@default,561.81,572.04,763.55,965.31,2865.2,2865.1,5459.4,2846.2
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,cms55-main-all4fixed@autotune,174.70,178.14,134.84,161.30,1089.2,1089.3,1969.7,1068.6
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,cms55-main-all4fixed@glubreak,61.80,65.06,42.08,45.39,545.0,545.0,883.6,524.7
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,cms55-main-all4fixed@main,105.46,108.89,76.86,87.91,772.5,772.6,1351.3,751.6
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,COMiniSatPS_Pulsar_drup@drup,26.17,29.30,18.67,20.74,264.4,264.6,374.1,248.9
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,expGlucose@default,12.49,10.73,7.04,8.32,149.3,149.2,145.6,140.5
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,expMC_LRB_VSIDS_Switch@default,22.49,22.81,15.30,18.38,238.9,238.9,295.7,224.2
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,Maple_CM_Dist@default,1.40,1.47,1.01,1.25,70.6,72.6,42.5,76.1
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,Maple_CM_ordUIP+@default,434.83,409.27,360.25,413.76,1864.5,1864.5,3504.3,1851.8
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,62.65,59.24,42.64,48.05,494.1,493.9,812.2,473.6
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,7.47,7.40,4.90,5.03,132.9,133.0,117.2,126.1
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,MapleLCMDistChronoBT@default,5.47,5.07,3.19,4.17,101.7,101.5,77.3,101.8
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,Maple_LCM_M1@default,122.67,113.45,78.10,97.57,812.4,812.3,1469.5,799.3
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,Maple_LCM_Scavel_200_fix2@default,63.84,62.30,44.05,50.96,446.3,446.5,717.1,428.7
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,Minisat-v2.2.0-106-ge2dd095@simp_proof,965.30,991.75,1352.80,1519.32,4703.1,4702.6,8970.6,4682.3
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,Riss7.1-fix@BVE_DRAT,2.22,1.89,2.22,2.33,75.0,75.0,44.3,78.1
cms-scheel-md5-families-r24-c5-p6-11-15-16-19,Sparrow2Riss-2018-fixfix@MAIN,1.92,1.75,1.43,1.69,75.0,74.9,44.2,78.1
